Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,30.870001,30.900000,30.600000,30.830000,29.111229,96000
2023-02-27,30.850000,31.120001,30.750000,30.990000,29.262306,110100
2023-02-28,31.030001,31.230000,30.969999,31.110001,29.375618,164100
2023-03-01,31.000000,31.360001,30.850000,31.290001,29.545586,140500
2023-03-02,31.090000,31.260000,30.920000,31.230000,29.488928,142000
2023-03-03,31.250000,31.250000,30.799999,30.879999,29.158440,113600
2023-03-06,30.850000,30.930000,30.330000,30.530001,28.827953,104800
2023-03-07,30.480000,30.480000,29.820000,30.049999,28.374712,104700
2023-03-08,30.110001,30.209999,29.690001,30.100000,28.421925,99600
2023-03-09,29.930000,30.070000,28.320000,28.690001,27.090532,229600
2023-03-10,28.250000,29.139999,27.580000,28.139999,26.571194,310700
2023-03-13,27.129999,28.500000,26.270000,26.799999,25.305901,369500
2023-03-14,28.360001,28.780001,26.670000,26.860001,25.362556,222300
2023-03-15,26.200001,26.809999,25.910000,26.790001,25.296459,171400
2023-03-16,26.520000,27.830000,26.180000,27.530001,25.995203,164600
2023-03-17,27.469999,27.469999,26.459999,26.740000,25.249245,327000
2023-03-20,26.990000,27.250000,25.670000,25.820000,24.380535,175200
2023-03-21,26.500000,26.959999,26.400000,26.809999,25.315342,164800
2023-03-22,26.860001,27.010000,26.070000,26.080000,24.626040,210200
2023-03-23,26.280001,26.350000,25.500000,25.590000,24.163359,146200
2023-03-24,25.180000,26.410000,25.180000,26.410000,24.937643,129900
2023-03-27,26.770000,26.940001,26.270000,26.309999,24.843220,86200
2023-03-28,26.260000,26.260000,25.639999,25.750000,24.314438,95700
2023-03-29,26.030001,26.030001,25.270000,25.670000,24.238897,95100
2023-03-30,25.750000,25.950001,25.090000,25.469999,24.050047,136400
2023-03-31,25.559999,25.820000,25.389999,25.750000,24.314438,134800
2023-04-03,25.750000,26.000000,25.350000,25.770000,24.333324,128600
2023-04-04,25.860001,25.860001,25.150000,25.610001,24.182245,120200
2023-04-05,25.350000,25.610001,25.240000,25.410000,23.993393,72400
2023-04-06,25.270000,25.690001,25.270000,25.629999,24.201128,87700
2023-04-10,25.620001,25.959999,25.480000,25.709999,24.276667,83300
2023-04-11,25.820000,26.000000,25.610001,25.790001,24.352207,106100
2023-04-12,25.830000,25.870001,25.360001,25.440001,24.021721,67600
2023-04-13,25.389999,25.670000,25.270000,25.520000,24.097261,72500
2023-04-14,25.790001,25.809999,24.680000,24.820000,23.436285,112100
2023-04-17,24.900000,26.110001,24.770000,26.030001,24.578829,165000
2023-04-18,26.030001,26.030001,25.059999,25.290001,23.880085,84600
2023-04-19,25.450001,25.969999,25.139999,25.850000,24.408863,79400
2023-04-20,25.639999,25.670000,25.299999,25.570000,24.144474,70200
2023-04-21,25.459999,25.540001,25.040001,25.350000,23.936737,90200
2023-04-24,25.209999,25.790001,25.209999,25.629999,24.201128,95500
2023-04-25,25.600000,26.420000,25.340000,25.559999,24.135033,165900
2023-04-26,25.480000,25.959999,25.480000,25.900000,24.456076,104800
2023-04-27,25.959999,26.440001,25.910000,26.260000,24.796005,104000
2023-04-28,26.250000,27.040001,25.889999,26.059999,24.607153,795800
2023-05-01,26.260000,26.430000,25.600000,25.700001,24.267227,183700
2023-05-02,25.709999,25.790001,24.370001,24.480000,23.115240,370800
2023-05-03,24.639999,25.780001,24.639999,25.049999,23.653463,261600
2023-05-04,24.820000,24.969999,23.600000,24.549999,23.181339,220900
2023-05-05,24.820000,25.570000,24.549999,25.440001,24.409489,203600
2023-05-08,25.600000,25.600000,24.510000,24.510000,23.517160,112800
2023-05-09,24.440001,24.820000,23.870001,23.930000,22.960655,115700
2023-05-10,24.280001,24.410000,23.340000,23.580000,22.624832,128800
2023-05-11,23.120001,23.469999,23.049999,23.340000,22.394556,111100
2023-05-12,23.440001,23.620001,23.049999,23.490000,22.538479,101400
2023-05-15,23.510000,23.950001,23.469999,23.540001,22.586454,83100
2023-05-16,23.660000,23.740000,23.250000,23.250000,22.308201,69800
2023-05-17,23.660000,24.870001,23.510000,24.820000,23.814602,179000
2023-05-18,24.900000,25.190001,24.600000,25.090000,24.073668,140400
2023-05-19,25.480000,25.480000,24.480000,24.760000,23.757032,161700
2023-05-22,25.059999,26.110001,24.709999,26.080000,25.023563,203100
2023-05-23,26.049999,27.209999,26.049999,26.590000,25.512905,181600
2023-05-24,26.459999,26.600000,26.010000,26.240000,25.177082,114700
2023-05-25,26.120001,26.580000,26.120001,26.520000,25.445740,113600
2023-05-26,26.459999,27.090000,26.160000,27.020000,25.925488,130500
2023-05-30,27.170000,27.170000,26.340000,26.400000,25.330601,120000
2023-05-31,26.340000,26.400000,25.350000,25.670000,24.630171,252800
2023-06-01,25.809999,26.350000,25.370001,26.030001,24.975592,82000
2023-06-02,26.240000,27.760000,26.150000,27.719999,26.597132,175500
2023-06-05,27.540001,27.639999,26.990000,27.129999,26.031031,105400
2023-06-06,27.030001,28.799999,27.030001,28.430000,27.278372,138900
2023-06-07,28.690001,29.629999,28.500000,29.170000,27.988396,182800
2023-06-08,29.070000,29.389999,28.600000,29.330000,28.141914,110000
2023-06-09,29.240000,29.330000,28.620001,28.700001,27.537436,85100
2023-06-12,28.980000,29.320000,28.209999,28.270000,27.124853,115500
2023-06-13,28.420000,29.200001,28.290001,28.940001,27.767714,129500
2023-06-14,28.980000,29.290001,28.190001,28.320000,27.172827,119000
2023-06-15,28.129999,28.740000,28.010000,28.469999,27.316750,166200
2023-06-16,28.770000,28.770000,27.840000,27.980000,26.846598,205600
2023-06-20,27.980000,27.980000,27.230000,27.270000,26.165361,112800
2023-06-21,27.200001,27.469999,27.000000,27.110001,26.011843,114500
2023-06-22,26.980000,27.010000,26.370001,26.540001,25.464931,101200
2023-06-23,26.370001,26.680000,26.070000,26.370001,25.301817,516000
2023-06-26,26.379999,26.809999,26.370001,26.389999,25.321007,90000
2023-06-27,26.420000,26.940001,26.250000,26.629999,25.551285,94800
2023-06-28,26.670000,26.809999,26.400000,26.780001,25.695210,90400
2023-06-29,27.010000,27.340000,26.990000,27.010000,25.915894,62000
2023-06-30,27.049999,27.049999,26.520000,26.549999,25.474525,76900
2023-07-03,26.520000,27.030001,26.520000,26.799999,25.714397,38100
2023-07-05,26.709999,26.860001,26.400000,26.530001,25.455336,69700
2023-07-06,26.260000,26.330000,25.510000,25.840000,24.793285,113600
2023-07-07,25.660000,26.650000,25.660000,26.510000,25.436146,111800
2023-07-10,26.350000,27.010000,26.200001,26.340000,25.273031,67500
2023-07-11,26.450001,26.639999,26.160000,26.410000,25.340197,52700
2023-07-12,26.860001,27.160000,26.620001,26.750000,25.666424,75100
2023-07-13,26.920000,27.320000,26.820000,27.040001,25.944677,62300
2023-07-14,27.240000,27.240000,26.730000,27.059999,25.963865,90500
2023-07-17,27.040001,27.700001,26.850000,27.389999,26.280497,83800
